,amazon_tweets
2363,"My Favorite Knox Security 
@AmazonIN @SamsungIndia  #SamsungM42 https://t.co/kBD7ThtIf5"
2364,"#AmazonQuiz
#QuizTimeAmazon
#GalaxyM42Quiz
#SamsungGalaxyM425GQuiz
#SamsungM42
Hope to win this special quiz.… https://t.co/poqFc8kcAi"
2365,"#AmazonSpinandWin 
#AmazonIN 
Plssssssssssssss amazon let me have a OnePlus phone. And aain thank you!!! https://t.co/2Ckn8K8Tys"
2366,"🏆 #AmazonQuiz - Win Fire TV Stick 4K 
✨ FunZone Cricket T20 Fever 
⏳  23 Apr 21 by 6pm

Cricket Trivia :  Rajasthan… https://t.co/LpIpf9W9Dm"
2367,"🏆 #AmazonQuiz - Win ₹ 25,000 
⏳ 23 Apr 21 (24 hours) 
✨ Daily Quiz Answers  

1. John Walker (1) 
2. CBS (3) 
3. Ga… https://t.co/uZH7AzLbsi"
2368,"#IQOO7series @amazonIN @IqooInd 
 300Hz Touch sample rate feature.

More game more chicken dinner. https://t.co/N9Uhw53BEb"
2369,"🏆 #AmazonSpinandWin - Win Samsung Galaxy S20 FE 5G and more 
✨ Samsung Galaxy S20FE 5G Spin &amp; Win 
⏳  21 April - 21… https://t.co/7yCPe13P4j"
2370,Everyone in @amazonIN should face consequences for the blatant hatred displayed by their employee. Less hatred &amp; le… https://t.co/Eakb5R3nQw
2371,"#GalaxyM42Quiz
#AmazonQuiz
 #Samsung
#AmazonQuiz
#AmazonQuizAnswer
@Samsung
@SamsungMobile
@SamsungIndia
@amazon… https://t.co/WiJv72vIDt"
2372,"My favorite feature of #DualChipMonster is dual chip system, Qualcomm Snapdragon 870 and Intelligent display chip,… https://t.co/gX0FiJ56H9"
2373,"Played. Expecting. 
#GalaxyM42Quiz 
#FastestMonster
@amazonIN 
@SamsungIndia #samsungm42 https://t.co/4irxEJJq7R"
2374,"Waiting for the 

""IQ007 Legend 5G Monster Inside""

My favorite features
👉 SD 888 5G
👉 Full charge in 22 mins with… https://t.co/57AY51jwGV"
2375,"🏆 #OPPOA745GQuiz - Win ₹ 20,000 
✨ OPPO A74 5G Quiz
⏳ 21 April - 20 May 21
 
1. True (1) 
2. All of the above (4)… https://t.co/Cy2zbUi2hn"
2376,"Played. Expecting. 
#GalaxyM42Quiz 
#FastestMonster
@amazonIN 
@SamsingIndia #samsungm42 https://t.co/4irxEJJq7R"
2377,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42
Knox security in M series the best security feature is now in m… https://t.co/eLUMLkKQgF"
2378,"Hey @amazonIN @Flipkart Considering restrictions in Mumbai, you guys are delivering only essential products. 
Why d… https://t.co/q857iLLUy6"
2379,"🏆 #GalaxyM42Quiz - Win Samsung Galaxy M42 5G 
✨ Samsung Galaxy M42 5G Quiz
⏳ 22 April - 22 May 21
 
1. All of the a… https://t.co/5qlDT9oavY"
2380,"#AmazonQuiz
#AmazonQuizAnswer
#QuizTime
@worldbookday_in
@amazonpay 
@amazonIN 
@amazon 
@Heenabegumgour
I played t… https://t.co/yfOmmxBj6D"
2381,My favourite feature of this phone is it's fast charging and its intelligent display chip which makes it a beast in… https://t.co/8qf6sWNpVv
2382,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/ZRlfOua9R1
#AmazonQuiz… https://t.co/9GCHWbVGBi"
2383,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/ZRlfOua9R1
#AmazonQuiz… https://t.co/4s2ru1ouek"
2384,"#FastestMonster  @amazonIN @SamsungIndia #samsungm42 
Eagerly waiting for it. Very soon it will be in mine 😍🤩🤗 https://t.co/guNZgFtht7"
2385,"🏆 #PanasonicACQuiz - Win ₹ 10,000 
✨ Panasonic Air Conditioners Quiz
⏳ 17 April - 4 May 21
 
1. 1918 (4)
2. Meet Th… https://t.co/z9lu3hCSFF"
2386,"#GalaxyM42Quiz
#AmazonQuiz
@amazon 
@amazonIN 
#Samsung
@Samsung
@SamsungMobile
@SamsungIndia
@liyakataligour
I pla… https://t.co/MVw9Z1JvEq"
2387,"🏆 #AmazonQuiz - Win ₹ 20,000 
✨ World Book Day Quiz
⏳ 23 April - 5 May 21
 
1. Simply Fly, a Deccan odyssey (2) 
2.… https://t.co/qnDIKpOClS"
2388,"Full charge in 22 mins with 66w flash charge.
#IQOO7series @IqooInd @amazonIN https://t.co/1iQvRsMVqL"
2389,"#AmazonQuiz 
#QuizTimeMorningWithAmazon
#AmazonQuizAnswer
#QuizTime
#WordBookDayQuiz
@worldbookday_in
@amazonpay… https://t.co/vlOkwkaxNq"
2390,"#AmazonSpinandWin
Lucky Chance to Winning
existing reward on Amazon SpinandWin contest @amazon 
@amazonIN… https://t.co/UnPYeUHL1y"
2391,"I played on this intresting quiz on Amazon SpinandWin contest try your luck @amazon @amazonIN
#AmazonSpinandWin… https://t.co/lh519TRsVa"
2392,Everyone pretends to be a monster until the real monster legend is here... #IQOO7series is now releasing on April 1… https://t.co/zEELOx1Exo
2393,Done it ✌🏻🔥 @amazonIN #Mi11SeriesQuiz https://t.co/RAl1fDFHvD
2394,"🏆 #AmazonSpinandWin - Win Gold Coin, OnePlus 8 Pro, ₹ 20,000 and more 
✨ April Carnival - Spin and Win 
⏳  21 - 26… https://t.co/0105IPrQoz"
2395,Iqoo 7 5g comes with 66w fast charge which charges the mobile completely with 33 mins really awesome @IqooInd… https://t.co/Yin7aTDGLx
2396,Good Morning Lord - Everyday Prayers for Everyday People by Joseph T. Sulli... https://t.co/gCoC2mUV4O via @amazonIN
2397,"#FastestMonster 
@amazonIN @SamsungIndia 
#samsungM42 

The 5G connectivity is the favourite feature for me ❤️ https://t.co/Q5hpRH6dAQ"
2398,"🏆 #AmazonQuiz - Win ₹ 75,000 
✨ Carnival Edition Quiz
⏳ 20 - 26 April 21
 
1. Unicorn (3) 
2. Hedwig (1) 
3. Golf (… https://t.co/3zRs2ZLrKf"
2399,I bought an earbuds from @amazonIN but they delivered a glass jar. How your seller cheated customer and you allow t… https://t.co/22rNpn6nyw
2400,Hey @amazonIN @AmazonHelp seems my package is being scrutinized at some places. This happened with me 9 out of 10 t… https://t.co/5icHnLBIWr
2401,"Nice contest @amazonIN 
#AmazonSpinandWin https://t.co/zZNGTqyHdS"
2402,"Nice contest @amazonIN 
#AmazonSpinandWin https://t.co/wGeBM3qlp8"
2403,Not only few pharmacists are taking benefit of this #pandemic ! @amazonIN delivery executives are also asking for e… https://t.co/80Gp4DU4Tv
2404,"Nice contest @amazonIN 
#OppoA745gQuiz https://t.co/F8I601Ccx2"
2405,"#GalaxyM42Quiz
#AmazonQuiz
#AmazonQuizAnswer
@amazon 
@amazonIN 
@Samsung
@SamsungMobile
@SamsungIndia… https://t.co/moJOMetJS2"
2406,"Nice contest @amazonIN 
#AmazonSpinandWin https://t.co/NVL4sYA9hv"
2407,"Nice contest @amazonIN 
#AmazonSpinandWin https://t.co/zRtWjVlxMv"
2408,"Nice contest @amazonIN 
#Carnival-PictionaryQuiz https://t.co/EnPLu6ofzs"
2409,"Nice contest @amazonIN 
#AmazonFunzoneSlots https://t.co/bAOTcjUKAK"
2410,"Nice contest @amazonIN 
#AmazonSpinandWin https://t.co/9hgQXMMeZc"
2411,Hey @HDFC_Bank ..In @amazonIN I Got 1500 cash back on No cost EMI for selecting/using  HDFC Easy Emi credit card ..… https://t.co/BSTYCHFPrB
2412,"First of all, start carrying all your items in Maharashtra.
@amazonIN https://t.co/QWZatzwYpI"
2413,"Nice contest @amazonIN 
#CsrnivalEditionQuiz https://t.co/rrmSGW8nsQ"
2414,"Nice contest @amazonIN 
#DailyQuizTime https://t.co/GgE1o7u96y"
2415,"#Mi11SeriesQuiz
#AmazonQuiz
#AmazonQuizAnswer
#QuizTime
@XiaomiIndia
@MiIndiaSupport
@amazonpay 
@amazonIN 
@amazon… https://t.co/dIvDtjsOLL"
2416,"#AmazonQuiz
#AmazonQuizAnswer
#QuizTime
#WorldBookDay
@worldbookday_in
@amazonpay 
@amazonIN 
@amazon… https://t.co/Do17K1iIgY"
2417,Dai @amazonIN I ordered masks and coffee last week. You delivered the coffee but cancelled the masks and said that… https://t.co/T03uM5LZ3R
2418,"Now move with Freedom and clean with Style using all new #HomeVacS11Go, Cordless Stick Vaccum Cleaner - Strong, Sty… https://t.co/B06wArteRL"
2419,"#AmazonSpinandWin
#AmazonIndia 
@amazonIN 
@amazon 
@SamsungIndia 
@SamsungMobile 

Hope I win🖖 https://t.co/PWWHbqkf1A"
2420,"Amazon confusing me by putting Friday, 30th April above the delivery on Saturday, 24th April. @amazonIN #amazon… https://t.co/pAcaSsQAw4"
2421,"Dear Amazon,
Please refund my money back as already pending from last 6 months.
Order ID - 40637114272338756… https://t.co/RvzoJS0Bjo"
2422,"Dear @amazonIN, you seriously me to consider your packaging. Such big package (that too broken) for just three glas… https://t.co/4f9SBxjreI"
2423,Great monster with dual chip along with 300Hz touch sampling rate @IqooInd @amazonIN #IQOO7series https://t.co/CrTuZLHDZK
2424,"Extremely disappointed with service of @amazonin 
@amazonhelp being more than 6 months running
 From pillar to post… https://t.co/IWw4q9zqcA"
2425,The brand new series of #IQOO7series  is launching on 26 April.i loved its powerful monster processor with cooling… https://t.co/MwVM6VYKfG
2426,#IQOO7series @IqooInd @amazonIN Dual Chip Monster iQOO 7 5G https://t.co/eVelkmC91b
2427,Earthbound: Volume 1 by Mari Collier https://t.co/W8afgosuHA via @amazonIN
2428,"Dear Amazon,
Please process my refund as it is already 6 months now...
@amazon @amazonIN @AmazonHelp @JeffBezos @AmitAgarwal"
2429,Do we need any sort of pass from police to carry on ecommerce selling during the 15 day curfew @BlrCityPolice… https://t.co/XQTMaZushq
2430,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/664NatiJhC
#GalaxyM42Quiz… https://t.co/VpftAmZzba"
2431,"Lets see what this dual chip beast can do 
Very much excited ;! A solid compitator #IQOO7series 🔥
@IqooInd @amazonIN https://t.co/0e1YC7V9do"
2432,Am I the only one who thinks Chetan Sakariya is a real-life Prashant Kanaujia of the #InsideEdge series @amazonIN… https://t.co/XrCwjk2nSP
2433,"Dear @JeffBezos , I tried to gift my father a shaving kit from @amazonIN from my first salary. 
It has been almost… https://t.co/aW94WWK1QA"
2434,"Thanks for this quiz @amazonIN

#AmazonQuiz https://t.co/mL97UBXLh1"
2435,".@AmazonHelp @amazonIN @amazon Ordered Zojirushi food jar, order value Rs. 2320/- but was delivered a mobile charge… https://t.co/RfxsXfMVMl"
2436,"Dear @amazonIN Can the delivery boy call while attempting the delivery instead of just saying that I tried?
wouldn'… https://t.co/r1adFvv0Uq"
2437,Worst services from Amazon @amazon @AmazonHelp @amazonIN
2438,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/NqxJm5IMnD

@amazonIN @IqooInd… https://t.co/dI9sxvuE9t"
2439,Damn IQOO Dual Chip Monster Performance..&amp; the Freaking Snapdragon 888 Proccesor.With 300Hz Touch sampling rate and… https://t.co/JEsObo9kew
2440,"#Mi 4A PRO 80 cm (32 inches) HD Ready Android LED TV (Black) | With Data Saver by MI

 https://t.co/hLZHjXGvM4 

vi… https://t.co/hmG8EPt4HC"
2441,"My order has been cancelled.
But the dealer/seller is asking to order  separately through whatsapp,
Just after the… https://t.co/CbyqfnWZLO"
2442,"hey @Uber_India, @amazonIN, @hellomilkbasket, @myntra, @dominos_india, @NetflixIndia, @oyorooms and @MyNykaa haaaaa… https://t.co/5gc5KhjAr8"
2443,"Amazon website or app interface is too bad very understandable/ underdeveloped,  flipkart is clean and good , Amazo… https://t.co/mEViWVGCB2"
2444,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone @amazonIN @amazon 
#AmazonQuiz #AmazonQuiz https://t.co/TeUes20DTF"
2445,You are brutally r*p*** small businesses. Don't listen to this. Support your local kirana shop owner. https://t.co/9lNtUvVRw7
2446,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  nice quiz @amazon 
@amazonIN #AmazonQuiz… https://t.co/0b5KUjcrEe"
2447,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  Lucky chance to winning exciting reward… https://t.co/Qb7RiTqs6S
2448,"I too am facing a problem. In my case, the logistics service provider is 
@EcomExpress_Ofc. My @amazonIN
order hasn… https://t.co/jp8Ze9M7nm"
2449,"As you gaze into the wilderness, remember someone gazes back. Have you read our story? Order The Bera Bond now on… https://t.co/swB6CqEAjb"
2450,#GalaxyM42Quiz  I played this interesting Quiz on Amazon-Play games at Amazon FunZone try your luck @amazon… https://t.co/5rbyhzAKmR
2451,"[🌐] Last week, I applied for obtaining a fresh passport on Monday, gave the interview for the same on Tuesday, was… https://t.co/MVUDytuKbR"
2452,I played this interesting Quiz on Amazon-Play games at Amazon FunZone try your luck for a chance to winning excitin… https://t.co/XF1NnYE3hN
2453,"ஆமி...... சிறுகதைகள்.... (Tamil Edition) by sarasa suri....... https://t.co/rjWkFlNELV via @amazonIN

 Get your Free order 5 days..!!!"
2454,Thank you for Amazon 🥰 #Amazon @amazon @amazonIN https://t.co/APbGP9p805
2455,My favourite feature in New iqoo7 series is it's largest vapour chamber 4096mm2 😎 with sunglassessuper cool… https://t.co/fIdBHaOySX
2456,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  @amazonIN @amazon #GalaxyM42Quiz https://t.co/aDjhjBSmZy
2457,I played this interesting Quiz on Amazon-Play games at Amazon FunZone #Mi11SeriesQuiz @amazonIN @XiaomiIndia… https://t.co/xoZWZB1fFf
2458,Dear @amazon @AmazonHelp @amazonIN i got a damaged product today. A small body wash but you packed it in such a big… https://t.co/XNQ095vzGq
2459,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/Bg4fe1pEcA
#GalaxyM42Quiz… https://t.co/z0lDUxkZR6"
2460,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  @amazonIN @amazon #OPPOA745GQuiz https://t.co/mKOJEVWFLh
2461,"Completely answer Spin and win contest @amazonIN @amazon
#AmazonSpinandWin https://t.co/5YHyeDVpbh"
2462,"#AmazonQuiz @amazonIN 
I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/d2gsCoTWaq"
2463,"Done Completely 
@amazon  @amazonIN
#AmazonSpinandWin https://t.co/TyEtvBGkWd"
2464,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone @amazonIN @amazon 
#AmazonQuiz #AmazonQuiz https://t.co/O1WUXGFFEm"
2465,"#SamsungM12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate b… https://t.co/8AE5XL5Gn1"
2466,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/cMRAwjtTrl

@amazonIN
#AmazonTecnoSpark7Quiz"
2467,"Yah🎉🎉, I am eligible to enter the lucky draw to win Mi 11Series Smartphone.🥳🥳
I also advice you to take part in thi… https://t.co/6xz8fNgZmw"
2468,"I played this interesting FunZone Slot machine game-Try playing now!! @amazonIN @amazon 
#FunZoneJackpot https://t.co/89ii4xpuXJ"
2469,"My favourite #IQOO7series is iQOO 7 LEGEND 5G. 
@IqooInd @amazonIN 
#IQOO7series 
Design is absolutely stunning, it… https://t.co/owMxvDyg7k"
2470,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone 💜 https://t.co/e9ijNHvABr
@amazonIN… https://t.co/hCK44DL9wW"
2471,"Very interesting Quiz on Amazon 
Try your luck @amazon @amazonIN 
#AmazonFunzoneSlots https://t.co/bbnORZowfT"
2472,"Lucky chance to winning 
Exiting rewards @amazonIN
@amazon #AmazonSpinandWin https://t.co/SnHXoa7qWH"
2473,"#GalaxyM42Quiz @amazonIN 
I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/89cfSLWEMD"
2474,"#galaxym42Quiz 
Complete successfully
Thanks
@amazonIN @amazon https://t.co/gU4Ju9oVeY"
2475,"Right Ok Quiz 
@amazon
@amazonIN
#AmazonQuiz https://t.co/PiXwy3u15N"
2476,"#Mi11SeriesQuiz @amazonIN 
I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/woxRi1Obib"
2477,"#AmazonSpinandWin 
Complete successfully
Thanks
@amazonIN @amazon https://t.co/pq5eVfwbxC"
2478,I personally like the iQOO7 Legend Monster Inside because it is loded with monster performance chip and also comple… https://t.co/TZqfXc0jwM
2479,Cant Believe @amazonIN seller threatening of account suspension. I though Amazon protected both Buyer and Seller. G… https://t.co/Yrv840HHVq
2480,Will you charge delivery charges others are not during covid... Btw v never get slot https://t.co/XRs1tBWVyQ
2481,Hi there the worst service by both @amazonIN @help_delhivery  my product is out for delivery from yesterday the del… https://t.co/jxS7SFZZdJ
2482,Why are extension boards not included in essentials on @amazonIN.
2483,"Thank you to the 60,000+ attendees for making #AmazonSmbhav 2021 our biggest SMB summit of the year. We are so grat… https://t.co/kkIrzVBxdp"
2484,"Today on #EarthDay , I challenge @bigbasket_com @Grofers @amazonIN @Flipkart @myntra and others to refuse/reduce pl… https://t.co/xQsWF3qoLp"
2485,I boycott @amazonIN services with immediate effect as US President is purposely blocking raw material needed for Co… https://t.co/0T4h1r57lg
2486,"Thanks for this quiz. #AmazonIN

#AmazonSpinandWin https://t.co/5C838Q77J0"
2487,"Lots of #Covid cases in Hyderabad. 
Night curfew imposed. 
Heard @amazonIN ,amazon Hyderabad is seeking covid tests… https://t.co/raJrYv758L"
2488,"Thanks for this quiz. #AmazonIN

#OPPOA745GQuiz https://t.co/hl8mNLdMR1"
2489,"Thanks for this quiz. #AmazonIN

#Mi11SeriesQuiz https://t.co/MqCdHUtz7F"
2490,I played this interesting Quiz on Amazon I played this interesting Quiz on Amazon-Play games at Amazon FunZone… https://t.co/5EG8Cyv8Vn
2491,"Snapdragon 870 5G is my favorite feature. 😍
@IqooInd @amazonIN 
#IQOO7series https://t.co/OZKTDRG34c"
2492,"I Love 48MP OIS  Quad Camera 📷 With Sony IMX598 Sensor 
@IqooInd
@amazonIN
#IQOO7series
#DriveMonster https://t.co/Yse24dLZTB"
2493,"The outstanding features of this device #IQOO7series that I ilke the most is 
1.The real monster Snapdragon 888 5g… https://t.co/xUmMOh316N"
2494,"The outstanding features of this device #IQOO7series that I ilke the most is 
1.The real monster Snapdragon 888 5g… https://t.co/gkEmCDz2bO"
2495,Even the most fraud E-commerce company on this earth i.e @flipkartsupport  refund instantly after returning the ord… https://t.co/vX5o1ZDY4T
2496,"Thanks for this quiz. #AmazonIN

#AmazonSpinandWin https://t.co/ssFdjt2jG6"
2497,"Thanks for this quiz @amazonIN 

#GalaxyM42Quiz https://t.co/9nyrAQLEM7"
2498,"New MI10I faulty product, lot of bugs in whatsapp, hang @XiaomiIndia @amazonIN @manukumarjain https://t.co/gE0SP6KXVV"
2499,"Thanks for this quiz @amazonIN 

#Mi11SeriesQuiz https://t.co/sGD5aYvL6I"
2500,design is stunning #iQOO7Series @IqooInd @amazonIN https://t.co/hUHvVi8T2T
2501,"Thanks for this quiz. #AmazonIN

#AmazonQuiz https://t.co/K0RHA69H8U"
2502,"INTELLIGENT DISPLAY CHIP offcourse, because I better Display chip can enhance your gaming experience.... So this wh… https://t.co/q5cOP1FAq0"
2503,"Zpack Protector 3 Ply MeltBlown Disposable mask with nose wire, SITRA, ISO &amp; CE Certified (Pack of 50, Blue) on… https://t.co/WKLf0MCUg9"
2504,"66 Watt Fast Charging Is Realy Legend ♥️ Very Excited
@IqooInd @amazonIN #iQOO7Series #iQOO7Legend https://t.co/LpmA8NQSeL"
2505,"Thanks for this quiz. #AmazonIN

#AmazonQuiz https://t.co/shJixhVew3"
2506,The SD 888 5g processor 120 Hz scereen refresh rate and 300 Hz touch sampling rate this is the boost monster featur… https://t.co/y9egsADkaG
2507,"Thanks for this quiz. #AmazonIN

#AmazonFunzoneSlots https://t.co/ocfOboiMvg"
2508,"Inteligent Display Chip
@IqooInd @amazonIN 
#IQOO7series https://t.co/8M43oZ9XxQ"
2509,"Awaiting reply @amazon @amazonIN @JeffBezos @AmazonHelp #AmazonIndia #CustomerCare Nearing almost 6 hours of wait,a… https://t.co/zcBHxlPfAz"
2510,"Hello Amazon India, Glad that you sent me (staunch #vegetarian) an offer after I paid my bills using #AmazonPay, bu… https://t.co/VByo1xGMqO"
2511,I made a mistake by ordering on @Flipkart I order mobile thrue flipkart and they cheat me they charged me 6000 more… https://t.co/kPjmbZEj3u
2512,Dear Sir with ref to order no 407-1320523-8053955. I have been cheated .  Request you to get in touch with me  @amazonIN
2513,"HEY @Uber_India, @amazonIN, @hellomilkbasket, @myntra, @NetflixIndia, @hotstartweets, @oyorooms and @MyNykaa Y U NO @getsimpl  #KeepItSimpl"
2514,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/ZRlfOua9R1
#AmazonQuiz… https://t.co/FP6srIObWW"
2515,"Fraud AMAZON with DTDC courier services, Amazon India losing people's trust, Please look at this seller review scre… https://t.co/pQORfYDh2N"
2516,"There is no planet B
Save it
Secure it
.
.
Happy Earth Day

@GoI_MeitY @electropreneur @stpiindia @iesaonline… https://t.co/GEQWg0d2re"
2517,"Awaiting this beauty, the iQOO 7 Legend 5G! With one of my favourite features of the device being the 4096 mm2 Vapo… https://t.co/qnIX6R21RX"
2518,"Best 5G Smartphone,  I Heartily love it 💌💕 . But My Budget is not to buy 
This phone.  
@amazonIN 
@IqooInd… https://t.co/OzKS7IUq6e"
2519,Dear @amazonIN kindly help with the Order No. 407-0575725-9959516 . The product has been returned but I have not ye… https://t.co/h8RmXqNshb
2520,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/aTRGCgZZ8j #AmazonQuiz @amazonIN https://t.co/29fCptVDSO
2521,"Hello @amazonIN @amazon 

I am waiting for resolution. You CC only wasting my time they didn't provide me my requir… https://t.co/WXWKYwjuoR"
2522,"Men's footwear &amp; accessories up to 70% offer 😍😍
Don't miss it. COOL SUMMER Offers on @amazonIN 

To BUY :… https://t.co/cbSTgDHWE1"
2523,I have purchased a product from Amazon and opted NO COST EMI option but the payment was not converted into EMI and… https://t.co/RhyoDpbS76
2524,"**** fake amazon call alert ****+918902970448
Today got a call claiming from amazon that i can select three gifts .… https://t.co/vFCxzqclKZ"
2525,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/yXcJk0CUTU @amazonIN #AmazonQuiz https://t.co/zC4vdISEld
2526,"Just watched the movie ""TRAIN TO BUSAN"" omg what a movie yrr ,,, There are very few movies that connect directly to… https://t.co/au4W8h4I6d"
2527,"Dear Amazon,
@amazon, @amazonIN, @AmazonUK @AmazonHelp.
I really fed-up with services of Amazon as after 6 days, th… https://t.co/9iZpKIbheV"
2528,"What amazing phone .....i seen ever best design, camera,and also definitely in performance.🔥🔥🥳🤩💖...!
I think best p… https://t.co/TmRmCHQILr"
2529,"Check out Secret of Healthy Hair
https://t.co/7EH0VI3bVG via @amazonIN #secretofhealthyhair #plantbased… https://t.co/ksSLefY3o7"
2530,"Son of drainage inspects 😢😊 Pickup Cancelled: Your return, Bare Denim Men's Flat F... was cancelled at the time of… https://t.co/WBWziYKdxs"
2531,"Pulse Oximeters which were around ₹.900/- to ₹.1200/- 21 days back, are now ₹.2500 to ₹.3500/- on @amazonIN &amp;… https://t.co/opmrnInH2m"
2532,iQOO7 - Ultimate phone with Snapdragon 870 and with intelligent chip design.. @amazonIN @IqooInd #IQOO7series https://t.co/XolO5XC3vT
2533,Hello  @amazonIN @AmazonHelp I am unable to verify my mobile number for Amazon payments... Don't know why the syste… https://t.co/X1fz8FnlRt
2534,Hello @amazon @amazonIN @AmazonHelp I am unable to verify my mobile number for Amazon payments... Don't know why th… https://t.co/oiMmCfjxTZ
2535,"Prepaid product returned but refund not given by #Amazon India, complaint filed against @amazonIN  

#AmazonIndia

https://t.co/44ZRwDY1Bo"
2536,66w flash charge @IqooInd @amazonIN #iQOO7series https://t.co/mOwH26TIyA
2537,"Favorite feature
👉 Dual chip for extra gaming experience with intelligent display chip. Which is unqiue in this pho… https://t.co/7uGzyard0Q"
2538,Loved this feature @IqooInd @amazonIN #IQOO7series https://t.co/lKEicKHH2w
2539,Hey @amazonIN I m not able to sign in my account plz help
2540,"hi @Uber_India, @amazonIN and @myntra plz get pay later option  #KeepItSimpl"
2541,Scalpers entered Amazon @amazonIN @RishiAlwani https://t.co/vZNeL4ZcBd
2542,"Hey @amazonIN why I face same problem on prepaid order with you 
Always it happened to me 
I didn't receive product… https://t.co/Me9PWxVYJU"
2543,"If you are looking for the worst co-branded credit card, look no further. The ICICI Bank-Amazon Pay card wins hands… https://t.co/Oxpnlw6CPI"
2544,"Love the ease of @getsimpl. pls integrate with @Uber_India, @amazonIN and @MyNykaa  #KeepItSimpl"
2545,#IQOO7series Best feature of this phone is performance and the aggressive pricing. @IqooInd  @amazonIN https://t.co/5erDm5CM3r
2546,"It has a flash⚡ charge 
  I like this very much 
@amazonIN
@IqooInd 
#IQOO7series https://t.co/wM7KcItMdl"
2547,"IQOO 7
FlashCharge of 66Watts
Full Charge Your Device in 30 minutes
and be ready for the next round.
@IqooInd… https://t.co/eOeUC9KmVN"
2548,"IQOO 7
The First Phone with Dual Chip one for performance and another for Display.
It Increases the frame rate of t… https://t.co/1ITnP4LxnC"
2549,"#MiFans, less than 24 hours to go for the Mi mega launch event.

We are all geared up. Are you?

Catch us live tomo… https://t.co/xfBdIyZQUU"
2550,"The legendary phone in every feature 😍😍❤️
@IqooInd ,@amazonIN ,
#IQOO7series https://t.co/U1HK2zgtva"
2551,"Earth Day is the day of celebration and making promises…. To make it a happier, healthier, and greener planet for g… https://t.co/yYqoGeDtrn"
2552,#IQOO7series @amazonIN @IqooInd Fastest Charging⚡⚡ Antutu Score 🔥🔥 and Design is 😍😍. Waiting for the Beast. https://t.co/tTVYWsW3ma
2553,"hi @Uber_India, @amazonIN and @myntra plz get pay later option  #KeepItSimpl"
2554,We are trying to add our account on amazon seller services from last december 20 but still my account is suspended… https://t.co/EVoDKbKFtS
2555,"👨🏽‍🌾👩🏻‍🌾👨🏽‍🌾👩🏻‍🌾

We are excited to announce Workplace Farming at @amazonIN's Hyderabad campus.

This initiative :… https://t.co/BhvV55Yu8j"
2556,"#AmazonQuiz
Good afternoon amazon.
@amazonIN 
@amazon 
#AmazonSpinandWin
#AmazonPrimeVideo https://t.co/tHNssxpO9X"
2557,"Amazon Fire TV Cube Launched in India.

Price:-

Rs.12,999

#Amazon 
@amazonIN https://t.co/BIQyuOYKUj"
2558,"#AmazonFunzoneSlots
Funzone carnival quiz on Amazon.
@amazonIN 
@amazon 
#AmazonQuiz https://t.co/2pgx1cKlTf"
2559,"Turns out that I can't depend on @amazonIN for dog food anymore. 3 consecutive orders, 5 consecutive deliveries fai… https://t.co/AxTW3VEpLa"
2560,"Hey @amazonIN, can you help a brother out? I ordered a pack of 66 diapers of the wrong size for my 1.5month baby. D… https://t.co/nt8sFEY78S"
2561,"#iQOO75GAmazonQuiz
#AmazonQuiz
#AmazonQuizAnswer
#QuizTime
@IqooInd
@iQOOGlobal
@amazonIN 
@amazon 
@Aarifbhati40
I… https://t.co/O7c2ZRkzkS"
2562,"#AmazonFunZoneSlots
Hard work is key to success.
@amazonIN 
@amazon https://t.co/TpwOEIZB4r"
2563,"Urgent Awareness: Flipkart is sending fake nonbranded/loose products.
Problem: if you complain and a return is acce… https://t.co/HG9dVfEaSk"
2564,I unable to place my order. The swipe button isn't working @amazonIN
2565,"#OPPOA745GQuiz
#AmazonQuiz
#AmazonQuizAnswer
#QuizTime
@oppomobileindia
@oppo
@amazonpay 
@amazonIN 
@amazon… https://t.co/cArnne5wuI"
2566,After a long wait @Flipkart Cancel my products without reason.  I changed my mind I order @amazonIN  i got product… https://t.co/RS8OaytmLd
