,Flipkart_tweets
508,"Today the technician visited and he just resetted the phone and said me it will work nice from now
How can i believ… https://t.co/9JR6vm5eiN"
509,"Using TDS tester🌡🚰

Before 201
After      27.9

Is it really🤨? I still have doubt so I drink the water after boilin… https://t.co/lIGX74acDr"
510,"Super Coins vunte @Flipkart lo 
Donate cheyandi frnds 🤝
#Covid19IndiaHelp https://t.co/8O8zsOnWBn"
511,Thank you @Flipkart https://t.co/VXKJSkXOhC
512,"Do Your Bit Through @Flipkart!! 🙏🏻🙏🏻
Go To Supercoin Zone and Donate through SuperCoins!! https://t.co/2UHnOYOD4F"
513,"Donate if u have supercoins Left unused in ur #flipkart account..
#coid19 https://t.co/7zNCStxbDL"
514,"#sos @Keshu__10 
donate through Flipkart supercoins, you can save a life.Donate 1 Hour Of Ambulance Service@30 Supe… https://t.co/glyEEuhiq8"
515,"Donate 1 Kg Oxygen Cylinder Refill
https://t.co/aOAdIiSjim

I'm unable to do it again, Why only one chance given to… https://t.co/Q29hIIhB3Q"
516,Brilliant initiative by Flipkart. Put those Supercoins to the best use by donating for ambulance hours (30/hour) or… https://t.co/t04um1ofEG
517,"1. 1hrs of ambulance service
2. 1ltr of oxygen cylinder refill
A small contribution to the Covid crisis from my sid… https://t.co/5osA1O0RWB"
518,"#Lenovo Smart Clock with Google Assistant Smart Speaker at ₹1,999

https://t.co/C8DqqmSDJA

If you purchased TV or… https://t.co/N3zvshTrRj"
519,Be kind. Do your bit. Use your @Flipkart coins for some good deeds. #Covid19IndiaHelp https://t.co/JE51ly74M2
520,Check this price difference is 40k now confirm me if i ordered then i will receive back difference amount or is the… https://t.co/Ach0C3KyLC
521,"Look Smart, Feel Comfortable and Have lots of Fun with #bumchums.
Shop @ https://t.co/EUtOLrvIlF
Also shop… https://t.co/IDJbRiM6Da"
522,Purchased product on 18 th April 21 received wrong product with missing item still waiting for refund or replacemen… https://t.co/QUnP2td6kY
523,Now another date given by flipkart to me wow what a froud you people doing ....@Flipkart https://t.co/HLPhEsPbNv
524,"Done 👍🏿
If you guys have any supercoins in your Flipkart Account please do donate. https://t.co/5HOQFQpHQC"
525,"#Lenovo Smart Clock with Google Assistant Smart Speaker@1999

https://t.co/bgdvN2aOSn

If you purchased TV or AC re… https://t.co/IcVAMxv5Ui"
526,"Dear @_Kalyan_K 
Your social media team not solving any complaints but making more troubles for customers..please h… https://t.co/Srzv1iuPtQ"
527,"I Donate Super Coin Plz Donate Now 
Link 1- https://t.co/syLW5AdI1p
Link 2- https://t.co/xGii0sUdLR

Click on links… https://t.co/f1E4UQ7kRY"
528,"Lenovo Smart Clock with Google Assistant Smart Speaker at ₹1,999

https://t.co/EeaG3WDtzF

If you purchased TV or A… https://t.co/UEEJBHJqWi"
529,Just how I got a product for a replacement of my oppo w51 I got some other product totally different what kind of p… https://t.co/ElcUJN6gFU
530,"The most affordable 5G phone with 6GB RAM is here.
Presenting the new OPPO A53s 5G with features like Dual-SIM 5G,… https://t.co/bNBIEXDS8k"
531,"Lenovo Smart Clock with Google Assistant Smart Speaker at Rs 1999

https://t.co/ArbcHXHR5K

If you purchased TV or… https://t.co/YgH1nsNbwB"
532,"Lenovo Smart Clock with Google Assistant Smart Speaker @ 1999

https://t.co/kgfxGa2Opa

If you purchased TV or AC r… https://t.co/lckjKHkr6o"
533,"Lenovo Smart Clock with Google Assistant Smart Speaker At 1999

https://t.co/oGpGL70EpZ

If you purchased TV or AC… https://t.co/CDqmmdibHl"
534,"Dear @flipkartsupport @FlipkartSellers @Flipkart after so many complaints,I  didnt get any solution,already provide… https://t.co/2xvyj1LGuU"
535,"I have order nivea shoap on flipcart and it send me handy chopper. It's very big mistake by flipcart. @Flipkart ,… https://t.co/9AyHSnAtg4"
536,Done .. Good Ideas Come For Good Humanity Actions ..@stufflistings Thanks For retweet to Knw Redeemation of… https://t.co/2TOrH01iAi
537,"Check if you too can help someone

🚑 Donate 1 Hour Of Ambulance Service @ 30 SuperCoins

https://t.co/o4CzH2Aucz

1… https://t.co/bWLoBZ3hiy"
538,Seems like even now there are some series X drops in Flipkart... #restockps5india  #ps5restockindia https://t.co/rxRtrps3Cp
539,"From a speedy 5G Processor to a superior camera quality and a plethora of smart features, the #realme8 5G prepares… https://t.co/4AR07PRnf1"
540,"Ink Color Stains Remover o Amazpn/Flipkart

#Bhopal #Kanpur #Tiruppur #Amritsar #Kozhikode #Warangal #Udaipur… https://t.co/qUknEdQehK"
541,"You can donate 1 kg oxygen cylinder refill by redeeming 50 Supercoin on Flipkart.
@stufflistings 
@GiveIndia… https://t.co/w73TVBuN1m"
542,Make a centralized call centre only for Remdesivir in UP despatch using flipkart courier services. @myogiadityanath… https://t.co/JYZvUoiIMC
543,"Realme 8 Pro Illuminating Yellow is now available on Flipkart. Ye mast glow 
Klarge night me ...😍… https://t.co/r2W1u0XUtr"
544,"KENT TrueMix 16064 750 W Mixer Grinder (3 Jars, White) @ ₹1999

https://t.co/SQWktCNDLo

Amazon selling @ ₹3169"
545,"Use ur flipkart coins for covid donation currently 3 options available: 

https://t.co/R8LgKHXOX5… https://t.co/M8PIHRcPMD"
546,"Hindware 36 L Room/Personal Air Cooler  (Premium Purple, SNOWCREST 36-H)  

 5759rs with hdfc card

Link :  https://t.co/SljuiRWnVA"
547,"Finance Jobs

https://t.co/Mox1JO4Ugi"
548,Anyone can Donate Oxygen to COVID patients using Flipkart Supercoins through GIVE India. If u have 500 Supercoins t… https://t.co/EsqHHZUiII
549,"Sir...are deliveries like Amazon, Flipkart...etc working during lock down @BlrCityPolice @blrcitytraffic"
550,"Dear flipkart
i have placed the order on 20 April
the promise date of delivery was 26 the following order is at my… https://t.co/eEct96InpE"
551,Oxygen and ambulance both done thanks @Flipkart :) https://t.co/D9OUU2JUgD
552,"Donate 1 Hour Of Ambulance Service at 30 SuperCoins

https://t.co/tOfSmgP7We

Donate 1 Kg Oxygen Cylinder Refill fo… https://t.co/sOnM3yWFXp"
553,Your site is not allowing me to upload the picture of damaged goods? Why? @Flipkart https://t.co/nhAoX78rCP
554,"Panasonic Electric Rice Cooker  (1.8 L, Silver)  At 1999.

https://t.co/LHeScql2Q7"
555,"Donate 1 Kg Oxygen Cylinder Refill @ 50 Supercoins 

https://t.co/xAv4IU8a5a

10Kg @ 500 supercoins :… https://t.co/AlLHM8oE2K"
556,I have donated something which you can do too without spending money guys.Just by spending supercoin on Flipkart.Pl… https://t.co/XyVhIs9wqf
557,"Some of the Crazy Deals on Big saving days of @Flipkart @FlipkartIN 
What you think? https://t.co/6dCUsDyMJl"
558,I was supposed to get a call within 30min but got a call almost after 24hrs. If you can't deliver then why the unne… https://t.co/Yp8vgUvYiu
559,"#Flipkart Users can donate 1 hour of #Ambulance service for a critical care #patients against the 30 #SuperCoins.
G… https://t.co/OxUCwqmiMC"
560,"JHAMPSTEAD POLY BLENDED BEIGE UNSTITCHED SUIT FABRIC -3 metres
AMAZON PRICE- 3999rs
FLIPKART PRICE- 3599rs
OUR VIJA… https://t.co/aEZBpwnt5s"
561,"KENT TrueMix 16064 750 W Mixer Grinder (3 Jars, White)  At 1999.

https://t.co/TEGkEsAXWX"
562,My Moms Flipkart account has been blocked for the past month. She had some pending returns and wallet money. We hav… https://t.co/y1rK4Dl61k
563,"Donate 1 Hour Of Ambulance Service at 30 SuperCoins

https://t.co/KQ0RjHh4FX

Donate 1 Kg Oxygen Cylinder Refill fo… https://t.co/wJnngAOiVX"
564,Today finally I received my order from Flipkart which is out for delivery on 24/04/2021 isn't it a scam or wrong in… https://t.co/l2tkoSo6bV
565,"JHAMPSTEAD POLY BLENDED BEIGE SELF CHECKERED UNSTITCHED SUIT FABRIC -3 metres
AMAZON PRICE- 3999rs
FLIPKART PRICE-… https://t.co/33u92GwtVg"
566,"Join the Fight Against Corona Virus:

Donate 1 Kg Oxygen Cylinder Refill for 50 Flipkart Supercoins

🌟… https://t.co/aQwVwHShMW"
567,For all flipkart sellers the new policy of no plastic packaging is Mendatory. But we would caught the attention of… https://t.co/FI7o4JDXCo
568,Hey peeps at @Flipkart i know u guys must be contributing to the society in this tough times but it would be amazin… https://t.co/lNn3hCCSVL
569,"Promised delivery was 26th april,if deliveries are not available why dont you suggest at the time of ordering,even… https://t.co/eC2qaiRR5G"
570,"Donate 1 Hour Of Ambulance Service at 30 SuperCoins

https://t.co/EFKdBpbe60

Donate 1 Kg Oxygen Cylinder Refill fo… https://t.co/u3W03Cau14"
571,cancel flight ticket on 16th of vistara cancel flight by airline using Flipkart ( FF21021012848948 ) Then after mor… https://t.co/jLlftEEzrK
572,"Donate 1 hour of ambulance service for a critical care patient with 30 SuperCoins

https://t.co/qMd3uIfKiO https://t.co/GGSvpBbGMA"
573,cancel flight ticket on 16th of vistara cancel flight by airline using Flipkart ( FF21021012848948 ) Then after mor… https://t.co/o98BOe97t7
574,"Done!
Done!
@Mysterydealz 
@dealztrendz 
@Flipkart https://t.co/MUm3SdPXPm"
575,"Donate 1 Hour Of Ambulance Service @ 30 SuperCoins

https://t.co/Fl9RlBNmVn

Donate 1 Kg Oxygen Cylinder Refill @ 5… https://t.co/2OC4ADXZrg"
576,"Aap @amazonIN ki costumer service samajhiye. 
Two days before. Pickup will be tomorrow and refund will be issued as… https://t.co/Cd45nvOHQc"
577,"Donate 1 Hour Of Ambulance Service #flipkart  #giveindia 
https://t.co/VxW1OC7KOf"
578,"Great... Thanks for letting us know

Yesterday Cred oxygen today flipkart ambulance 🙌🙌
Done bit of mine 👍 https://t.co/YhCGnJo80K"
579,"Flipkart Users can donate 1 hour of ambulance service for a critical care patient against the 30 SuperCoins

Link:… https://t.co/OBLzn5D7B3"
580,"Donate 1 Hour Of Ambulance Service at 30 SuperCoins.

Link : https://t.co/dr4GexGEO3 https://t.co/5rh7ktSGI5"
581,"Men Tshirts starting @ 129 Rs

https://t.co/nJrJ25XfXt"
582,"Truke Fit 1+ Earbuds with Gaming Mode Bluetooth Headset 

at ₹999

Link : https://t.co/ikfgTcZtq8 https://t.co/0ygJT52ifc"
583,"Use ur flipkart super coins for covid donation currently 3 options available: 

I have used this option and donated… https://t.co/sxJ7iND0ah"
584,GREAT INITIATIVE 🙌🏻👏🏻 @Flipkart  Thanks for the info @dealztrendz https://t.co/8CFaJ6pAWC
585,"Hey @amazonIN &amp; @Flipkart can you request government to atleast exclude smartphone from non essential product 

Bec… https://t.co/1WXRV0n0yu"
586,"J.HAMPSTEAD Self Check Super 90's Fine Micron Wool Blue Unstitched Trouser Fabric-1.25 metres
AMAZON PRICE- 1999rs… https://t.co/nU2opEwaPd"
587,Hello Flipkart India @Flipkart This is broken Pulse Oximeter received two minutes back from you... Don’t crack such… https://t.co/pjGy4fwNjq
588,"Donate 10kg Oxygen &amp; 1 hour of ambulance service for critical care patients through Flipkart.

U can also donate by… https://t.co/u1XOwUUskH"
589,"J.HAMPSTEAD Self Check Super 100's Exclusively Exotic Blend Brown Unstitched Trouser Fabric-1.25 metres
AMAZON PRIC… https://t.co/ETIviULOv5"
590,"Covid Relief Donation campaign is run by GiveIndia On Flipkart, Now You Can Donate Using Flipkart SuperCoins 👏

Don… https://t.co/MHXfxY8KeH"
591,"Truke Fit 1+ Earbuds with Gaming Mode Bluetooth Headset

at Rs.999

Link: https://t.co/MDTwXZ7NxG https://t.co/IDvzyypj9S"
592,"Marble stains Remover on Amazon/Flipkart 

#Pallakad #Secunderabad #Allahabad  #Mysore #Indore #Thiruvananthapuram… https://t.co/hUOfIlZvJm"
593,"All that you need to dazzle this festive season- one day, one colour at a time.💫

📲Head over to flipkart to grab yo… https://t.co/doOrWr8FVa"
594,"J.HAMPSTEAD Self Check Super 90's Fine Micron Wool Royal Blue Unstitched Trouser Fabric-1.25 metres
AMAZON PRICE- 1… https://t.co/BhffCnH3hk"
595,"Flipkart Sale 2021: Check Today’s Offer On Motorola, Realme, Samsung, Poco, Oppo, Vivo Smartphones https://t.co/Js9RSZcjkN"
596,"Truke Fit 1+ Earbuds with Gaming Mode Bluetooth Headset 

₹999

https://t.co/XC8AEvdpLr

Like and Retweet 👍"
597,"Donate 1 Kg Oxygen Cylinder Refill for 50 Flipkart Supercoins

➤ https://t.co/5TSrgw5yer

Donate 10 Kgs Oxygen Cyli… https://t.co/w49lVD8oMU"
598,"You can also donate 10Kgs Cylinder Refill using 500 Supercoins

https://t.co/WhtPK6UMYr

#Oxygen #DonateOxygen… https://t.co/f9E6PyaGZ4"
599,The most precious wealth in your #life is only your health. Get delivered the health to your home by ordering Befac… https://t.co/fQ6zZaIWx9
600,Will Mi 11 series be made available on @Flipkart @XiaomiIndia @MiIndiaSupport
601,"Truke Fit 1+ Earbuds with Gaming Mode Bluetooth Headset  At 999

https://t.co/549Ff3oGoP"
602,You can donate a bit to Covid Relief from @Flipkart by using a small amount of supercoins but you can actually save… https://t.co/PdbfGg9hSS
603,"More Donation options with Flipkart Supercoins

Donate 1 Kg Oxygen Cylinder Refill by redeeming 50 SuperCoins… https://t.co/nE8vuu3DU4"
604,"https://t.co/jkrjG4uz8a
Some great deals during Big saving days on @Flipkart 😍 https://t.co/QdKGMo8Q6U"
605,"J.HAMPSTEAD Self Check Super 90's Fine Micron Wool Brown Unstitched Trouser Fabric-1.25 metres
AMAZON PRICE- 1999rs… https://t.co/P4W9P3Ejq5"
606,Will Iqoo 7 series be made available on @Flipkart @IqooInd
607,"Donate 1 Kg Oxygen Cylinder Refill for 50 Flipkart Supercoins

➤ https://t.co/QAwAjAw75x

Donate 10 Kgs Oxygen Cyli… https://t.co/YrAJor4GJA"
608,"If you regularly shop on @Flipkart then you must be having Coins,burn them to donate.
Link 1-… https://t.co/5YRkhw6KSn"
609,Done..Donated 50 coins for 1kg oxygen cylinder refill...Hope it helps someone @Flipkart thanks for the great initia… https://t.co/V5koV9ZMCt
610,Put those @Flipkart coins to use. Help. Be kind. Be grateful for your well being. https://t.co/gkNUo9QZpF
611,I have cancel flight ticket on 16th of vistara  cancel flight by airline using Flipkart (Booking ID: FF210210128489… https://t.co/wha9HnBOpg
612,"Bought Oppo Enco M31 via Flipkart, always wanted to test these. Let's see how it is....

Ps:- I know, the product n… https://t.co/KbSZwDsS80"
613,"Use ur flipkart coins for covid donation currently 3 options available: 

https://t.co/EUcNz6DhHG… https://t.co/0OluFjZMLh"
614,Flipkart users can donate 1 hour of ambulance service for a critical care patient against the 30 SuperCoins.… https://t.co/PojyCNwPqW
615,"J.HAMPSTEAD Self Check Super 100's Exclusively Exotic Blend Brown Unstitched Trouser Fabric-1.25 metres
AMAZON PRIC… https://t.co/oIdCwhKs4o"
616,"I have cancel flight ticket on March 17th of spicejet cancel flight by
airline using Flipkart (BOOKING ID (FF210205… https://t.co/12dydmWlnY"
617,"Match 22, Question 22!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't… https://t.co/vJmC6wF4KF"
618,"Excellent initiative @Flipkart
Donate :- 
1 Hour Of Ambulance Service @ 30 SuperCoins
➡️https://t.co/ITWHyBwVwR

1… https://t.co/Y9JdpEhPYJ"
619,"Stunning Picture Quality + Superior Sound = 139cm (55”) #realmeSmartSLEDTV
It’s about time you #BringTheCinemaHome!… https://t.co/8xpjnEd9S1"
620,#Ecommerce giant @Flipkart will host yet another big-ticket sale in the upcoming month. The company has announced i… https://t.co/7uxbHrWcsG
621,"J.HAMPSTEAD Self Check Super 90's Fine Micron Wool Brown Unstitched Trouser Fabric-1.25 metres
AMAZON PRICE- 1999rs… https://t.co/dTSkz3lz27"
622,"Donate 1 Hour Of Ambulance Service
https://t.co/x92ddOKkun"
623,"Donate 1 Kg Oxygen Cylinder Refill
https://t.co/neTje0ejhX"
624,"Donate 1 Kg Oxygen Cylinder Refill Using Flipkart 50 Points #indiaagainstcorona
#IndiaFightsCorona #apnu_amdavad… https://t.co/ROsDUU1O3P"
625,"Flipkart is giving an exclusive way to help people fight against Corona. 

You can use Flipkart 50 SuperCoins to do… https://t.co/4Pl52eN40t"
626,Utterly disappointed in @flipkart travel. Operation is close to a scam. Cust service will not inform you about all… https://t.co/AkldYaTczS
627,Hey @Flipkart. Awaiting an order for long now. It’s a daily fake-promise scenario going on. Pls help on priority. H… https://t.co/7ocEKzTzm3
628,I have cancel flight ticket on 16th of vistara  cancel flight by airline using Flipkart (Booking ID: FF210210128489… https://t.co/oQ4z7XgYUD
629,"🎁Flipkart: Donate 1 Hour Of Ambulance Service @ 30 SuperCoins

 https://t.co/6ceOe1iIex"
630,"🎁Flipkart: Donate 1 Kg Oxygen Cylinder Refill @ 50 Supercoins 

 https://t.co/lsB4pzxYr7"
631,"Donate 1 Hour Of Ambulance Service @ just 30 SuperCoins
https://t.co/HkBjv3WArR https://t.co/OcofqPKiOT"
632,"If u have any flipkart coins and interested to donate for Oxygen Cylinders

Go through this link !… https://t.co/yWHP0sYN58"
633,"Donate 1 Hour Of Ambulance Service @ just 30 SuperCoins
https://t.co/HkBjv3EZAj"
634,"Donate 1 hour of Ambulance Service free for critical care patients in Flipkart by using only 30 supercoin.

Hope th… https://t.co/LS2YUyUiLP"
635,"Dear @Flipkart @flipkartsupport, What kind of scam you are up with, 
Here is what I ordered on your website and wha… https://t.co/hs0Sz3h0E8"
636,"Donate 1 Kg Oxygen Cylinder Refill for 50 Flipkart Supercoins

➤ https://t.co/fUGcSQEG4k

Donate 10 Kgs Oxygen Cyli… https://t.co/rGGInh4kUu"
637,"🙏🏻🙏🏻 Donate 1 Hour Of Ambulance Service @ 30 SuperCoins

https://t.co/Fl9RlBNmVn

Sab Log donate karo, Don't worry… https://t.co/wzzmyociii"
638,"Nokia 5.4 to Go on Sale Today via Flipkart and https://t.co/6ERqOOWCAR, Nokia Power Earbuds Lite Now Available - Ga… https://t.co/OB5C4eeEDH"
639,Can we expect a response from your end 😡😡😡 why such fraud is allowed ?? @flipkartsupport @Flipkart @FlipkartVideo… https://t.co/lZujI5WpJk
640,"Donate 1 hour of ambulance service by redeeming 30 SuperCoins on Flipkart

https://t.co/4srlc7vI28 https://t.co/OGvF1CRWuJ"
641,Flipkart coins unte donate cheyandi guys https://t.co/ENYxVsGS1n
642,"#Flipkart 

Donate 1 Hour Of Ambulance Service for a Critical Care Patient and Join the  Fight Against Coronavirus… https://t.co/54kTO0lTMe"
643,"Donate 1 Hour Of Ambulance Service @ 30 SuperCoins

https://t.co/iMqRjbqwT7 https://t.co/dPVXdmZUQP"
644,"Donate 1 Kg Oxygen Cylinder Refill for 50 Flipkart Supercoins

➤ https://t.co/6Ft1Y0gVSw

Donate 10 Kgs Oxygen Cyli… https://t.co/p12pVOYRrq"
645,"Donate 1 Kg Oxygen Cylinder Refill
By using flipkart coins
https://t.co/OYTyPNNTbr 

#COVIDEmergency2021"
646,Moto G60 goes on sale via Flipkart in India - https://t.co/wVpl2yWAId https://t.co/pX1EP7VpUF
647,"The new OPPO A53s 5G with up to 8G RAM and 128GB ROM, comes with RAM Expansion technology. It enables readily fast… https://t.co/ASx6GHaUho"
648,"Oppo A53s 5G Set to Launch in India Today, to Go on Sale via Flipkart: Price, Specifications - Gadgets 360 https://t.co/QV5Ogb8ls9"
649,"Donate 1 Kg Oxygen Cylinder Refill
By using flipkart coins 

https://t.co/v949wZoje7"
650,Moto G60 goes on sale via Flipkart in India https://t.co/PQ8T2OejEW via @tracktech5 #motog60 #Motorola #technews… https://t.co/M2dgdGCIZ7
651,"Hello sir 
I order votas AC 1.5 ton 5 star from Flipkart on 22 may 2020 I got free service form Flipkart during the… https://t.co/ffjwEw5gXZ"
652,"Donate 1 Hour Of Ambulance Service at 30 SuperCoins

https://t.co/t9eoMruI7t https://t.co/XSp3ZiCcjl"
653,"Our sisters and brothers across the country need help. For those who can help contribute, please do your part. 🙏🏼… https://t.co/qt4Q1QUZrq"
654,Usually 30 coins equals 30₹ 😂.  How do you even measure hourly service @Flipkart @flipkartsupport https://t.co/3zF2Ey3V67
655,"[Upcoming] Flipkart Big Saving Days | 2nd - 7th May

https://t.co/QhCFfL0rYH

10% Instant Discount* With HDFC Cards… https://t.co/1X8aFPJd0q"
656,"[Upcoming] Flipkart Big Savings Days - Curtain Raiser Deals | 28th - 30th April

Grab Sale Prices Before The Sale S… https://t.co/9Ik5hAMoZA"
657,"[Upcoming] Flipkart Big Saving Days | 2nd - 7th May

https://t.co/jLoeu5twtT

10% Instant Discount* With HDFC Cards… https://t.co/nogNUnBVGX"
658,"#Flipkart users can donate 1 hour of ambulance service for a critical care patient against the 30 SuperCoins. 

https://t.co/kFplgJ5Upy"
659,The timeline is incorrect. I didn't even had my Flipkart account in 2014. The order was placed in around 2018. And… https://t.co/zlt26YFQ3m
660,"Donate 1 Hour Of Ambulance Service @ 30 SuperCoins

https://t.co/zkZ7lFiZj1"
661,"Men Tshirts starting 

129 Rs

https://t.co/jPaxWctnZC"
662,I just donated 1 Hour Of Ambulance Service by redeeming SuperCoins - pls do your bit @DealBeeOfficial… https://t.co/c3ng2zHtJM
663,"Moto G60 to Go on Sale in India Today for the First Time at 12 Noon: Price, Specifications https://t.co/gAWbYbvMsU"
664,"Oppo A53s 5G Set to Launch in India Today, to Go on Sale via Flipkart: Price, Specifications https://t.co/jzqiDFtjLo"
665,"✅Upcoming | Flipkart : Big Savings Days Curtain Raiser Deals (28th - 30th April)

Grab Sale Prices Before The Sale… https://t.co/JC0hGoVtGB"
666,Redeemed super coins for ambulance service. Hope it reaches the needy soon. Great initiative @Flipkart… https://t.co/PrAn8sZd3S
667,https://t.co/3IIFVBE05o https://t.co/3IIFVBE05o Assembly polls: EC bans victory processions on or after counting of… https://t.co/8rmaRfwtsx
668,"Rahul Phate's Research Product Sunscreen Lotion 

Order now: https://t.co/gyD35S4ol0

#rahulphate… https://t.co/3MVnbOB7uu"
669,unboxing and review flipkart smart buy 5 watt bluetooth speaker https://t.co/KjkDB0uNju via @YouTube
670,"Welcome onboard Woahganics!

Woahganics is a superfood brand on a mission to promote wellness and healthy living.… https://t.co/7p9Jzm0mNv"
671,"Donate 1 Kg Oxygen Cylinder Refill using 50 SuperCoins

https://t.co/3sAGcIKIZ4 https://t.co/t8EP87mT6c"
672,"India’s Most Affordable 108MP + 32MP Selfie Camera Smartphone, moto g60 Goes on Sale From Today on Flipkart https://t.co/QC4HmQyXbn"
673,"Flipkart | Donate 1 Hour Of Ambulance Service by redeeming 30 SuperCoins

https://t.co/v4FsqZZ7dN https://t.co/R713a13LfI"
674,"Donate 1 Hour Of Ambulance Service Using 30 SuperCoins

https://t.co/HkO4oU4aHS https://t.co/JNuJ4dRaMT"
675,Moto G60 goes on sale via Flipkart in India https://t.co/PQ8T2NWINo
676,Moto G60 sale in India today. The Motorola phone was launched alongside the Moto G40 Fusion last week. The Moto G60… https://t.co/Uq8gKfUqKz
677,Oppo A53s 5G is set to launch in India today. It will be available for purchase via Flipkart at 12pm (noon). It wil… https://t.co/V4ZdQzYAOo
678,Going to make purchase worth 75K from @Flipkart as @amazonIN duped with a Free Prime banner which would not work. R… https://t.co/xzyaskJQYD
679,"Donate 1 Hour Of Ambulance Service  At  30 SuperCoins

https://t.co/0udpHWL2UC"
680,"Me ordered a phone from @Flipkart . 
Delivery bro on the next day : knock knock .
Me : arey anna na crush ki msg ch… https://t.co/q4SSC36W85"
681,"When u are working from home, laptops ,mobiles, and other gadgets cannot be considered as non essential

This Ecom… https://t.co/krHnK35hUf"
682,"#flipkart
thank u flipkart for refunded my ammount"
683,"Devil - Cute little #suitcase for kids in #green texture.

Shop now
https://t.co/XPQjjyEbNl… https://t.co/6xjtGclgt2"
684,People are hacking your system @flipkartsupport @Flipkart . Check the score of top 3 . It’s impossible to score suc… https://t.co/kq3YkZoQNM
685,"40% OFF 💥💥MAX 30
Cadbury Dairy Milk Chocolate Shots, 18 gm [Pack of 48]  @ 288/-
https://t.co/apw5SWqa4W

 #Amazon… https://t.co/qq3AVMbpub"
686,"💥💥💥Pack of 2 Fan @ 2880.
Usha Striker Galaxy 1200mm 80-watt Goodbye Dust Ceiling Fan with Anti Dust Feature
👉… https://t.co/4NkgkHICiH"
687,"199/- LEATHER WALLETS
https://t.co/ejohwAY8jC
https://t.co/De4fanzSBO
https://t.co/0raBzhP5jD

 #Amazon… https://t.co/PAUxQsXlR6"
688,"♨️♨️ Loot Deal: Boat Airdopes 402 True Wireless Earbuds with Bluetooth V5.0, Black @ 1349 only

Use Code: CKMXP30… https://t.co/3sAPN2kYfU"
689,"#OPPOA53s Launched In #India with 10% discount on #HDFC card via #Flipkart   

📱6.5 inch HD+
🔳MTK Dimensity 700 
💾6… https://t.co/0pQvsporEd"
690,"Romsons Spirometer/ Respirometer @ 189

https://t.co/dYJmHvUron"
691,#GrowKaro with #WalmartVriddhi! 40+ hours of content on essential and advanced business skills on a self-paced e-le… https://t.co/dsnYfNiFE5
692,"Filled with the goodness of Honey and Nuts, Nutlite’s Nutty Honey made up of all natural ingredients for your daily… https://t.co/TjDaRH9qTn"
693,"Hey, @Flipkart  @flipkartsupport  I've ordered an Air purifier on 19th April, it's not delivered yet it's still sho… https://t.co/XS8neTpS8m"
694,There was spin &amp; win thing in @CRED_club and I opted in for that. Some cred coins I spent and I was lucky enough to… https://t.co/xqisP9PET6
695,"Moto G60 to Go on Sale in India Today: Check Offers, Price https://t.co/mkmwil1p6g Tech, moto g60, moto g60 first s… https://t.co/RikDlRFqBe"
696,"Upcoming BIG Sale :
*Flipkart  BIG SAVING DAYS Sale:*

*Sale starts frm:*
1 May , Midnight 12 AM onwards
(For Plus… https://t.co/rqhAODb3RD"
697,"Sarthak’s @edu_lko has been successful in placing four candidates in #Flipkart amidst this pandemic.
We extend our… https://t.co/ufYLjEa9qd"
698,"Sarthak’s @edu_lko has been successful in placing four candidates in #Flipkart amidst this pandemic.
We extend our… https://t.co/f74pH52Eww"
699,"Sarthak’s @edu_lko has been successful in placing four candidates in #Flipkart amidst this pandemic.
We extend our… https://t.co/ofXsPCMXQ6"
700,"Flipkart Product Advertising
https://t.co/4kj8fW490e https://t.co/BEsw2RXaMI"
701,"Flipkart Product Advertising
https://t.co/4kj8fW490e https://t.co/6nX8Zj2evb"
702,"Flipkart Product Advertising
https://t.co/4kj8fW490e https://t.co/a5KUsJ98bB"
703,I ordered a phone on 26 April 21 from @Flipkart.No progress seen yet now while tracking also it showing order date… https://t.co/oTJKsACcet
704,"#Flipkart 
Sold duplicate products to customers
Be aware of this site...
#oriflame duplicate milk n honey cream del… https://t.co/msgQIDajpz"
705,"A very bad experience with @Flipkart , @flipkartsupport this time. I  back my parcel return to you on 21 april, but… https://t.co/7iifR5LPda"
706,"Everyone selling bad quality oximeters now! All fake ones everywhere. Can't trust no one here!
Heights of inhuman b… https://t.co/cLuYwBamqn"
707,"Moto G60 to Go on Sale in India Today for the First Time at 12 Noon: Price, Specifications https://t.co/1Sy2eEoL9k"
708,"Oppo A53s 5G Set to Launch in India Today, to Go on Sale via Flipkart: Price, Specifications https://t.co/JfbBuJj0ic"
709,On 19th April 2021 i ardered ear bluetooth on flipkart worth ₹362 undr ID no 8800231986.But today i got a msg in my… https://t.co/USvaMTXsBC
710,"Moto G60 to Go on Sale in India Today for the First Time at 12 Noon: Price, Specifications https://t.co/65RWCTIusW"
711,"Oppo A53s 5G Set to Launch in India Today, to Go on Sale via Flipkart: Price, Specifications https://t.co/pnPbDrygJ8"
712,"Moto G60 with 6,000mAh battery first sale today via Flipkart: Tech specs and pricing details
https://t.co/sVBV0Porub"
713,"Oppo A53s 5G Set to Launch in India Today, to Go on Sale via Flipkart: Price, Specifications - Gadgets 360 https://t.co/xZQZrwscNw"
